Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
DZA,Algeria,,,1.4713470406532079,11.399999618530273,72.024,14.891721178634107,161979441019.24228,,97.0,2381740.0,27.976,155537972095.54944,92.4212607527282,31.3,
NAC,North America,,,0.8731409849095826,9.427785355638616,81.98849279569271,18.833423807273512,16029904666217.766,,19.9854317857,18240980.0,18.01150675839686,16188757383550.521,87.96979315332388,7.344574344661967,
EGY,"Egypt, Arab Rep.",,,1.7469951373878787,,43.375,81.49186498568487,218894280919.76962,,66.0,995450.0,56.625,214529580919.76962,87.1056051191234,22.5,
BGD,Bangladesh,11.17,190.0,1.1240299655385793,,27.894,1142.2918568026428,100357022443.83257,,240.0,130170.0,72.106,109694740947.63243,46.1692219610465,48.7,
NER,Niger,,,3.5411932753208077,,17.616,12.245956422199416,5410507419.6508045,,590.0,1266700.0,82.384,5378606080.982117,24.5332873300996,130.9,
LIC,Low income,,,2.1045641060077003,,27.598203274922913,49.74808018620297,425101830050.5542,63.1882454338724,410.0,16077080.0,72.40178871895795,431257600309.981,33.48528510766816,99.42368343034788,39.07563
MIC,Middle income,,,1.3296405481725344,,48.989553193062136,62.36344469443302,19655362372484.562,83.1816017881133,190.0,79640527.0,51.041846542623965,19490209308303.754,76.55894090636644,48.59724605534219,
NAM,Namibia,,,1.8213832948593693,,37.818,2.7733714729925056,11133250765.0355,,200.0,823290.0,62.182,10709004646.493984,67.2069107327193,45.9,
VEN,"Venezuela, RB",,,1.5729640262543108,,93.314,32.689756816507,393807511437.2793,,92.0,882050.0,6.686000000000007,389398863845.655,96.2052090181121,15.6,
BGR,Bulgaria,,,-0.672541560945809,10.199999809265137,72.524,69.40207258658806,47726844946.32984,,11.0,108560.0,27.476,46225193952.508995,136.10208354794,12.7,
BOL,Bolivia,,,1.5876666835607098,,66.399,9.166296501430812,19649724655.58194,,190.0,1083300.0,33.601,18789591707.31319,72.300122589981,52.9,
