Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
DZA,Algeria,,,1.5261166912298405,11.300000190734863,69.89,14.454990049291695,170989269622.03677,,,2381740.0,34.78,169689269622.03677,78.5158882756805,33.5,
NAC,North America,,,0.97309434777668,5.831678325769283,81.4635247762907,18.50104895679947,15728088365546.861,,,18240980.0,18.424867574486438,15878031134529.941,83.77271020955851,7.547380776094365,
EGY,"Egypt, Arab Rep.",0.38,55.0,1.7798778010384912,8.699999809265137,43.2358,78.68129790546989,162818181818.18182,,,995450.0,57.28,164177881818.18182,52.7131301340247,25.8,30.7
BGD,Bangladesh,,348.0,1.051364529582743,,26.9908,1117.6023661365907,79554350677.74377,,,130170.0,72.86,86607185541.46626,30.6849887577735,54.3,
NER,Niger,12.42,,3.552640682244459,,17.2624,11.407600063156233,5369911346.329917,,,1266700.0,83.46000000000001,5350930081.9544,13.1323673407217,144.9,
LIC,Low income,18.67,,2.069564055359848,,26.88320775643554,47.7291640646187,369515955710.3952,,,16077080.0,72.49116272191146,372230439474.7437,20.947972300443748,104.9629583395447,
MIC,Middle income,5.48,,1.1276788965870708,,47.77588659237027,60.98642480195726,16817114058942.102,,,79643037.0,52.71680188400698,16722920915997.125,55.75928839896826,52.085848819067685,
NAM,Namibia,,,1.9011419484474323,37.599998474121094,36.708,2.672717997303502,8839796412.99079,,,823290.0,63.16,8622152205.525932,47.8090111805826,54.3,
VEN,"Venezuela, RB",,,1.6312751209930734,6.900000095367432,92.7528,31.67054021880846,315600203539.82306,,,882050.0,6.680000000000007,316011203539.82306,97.7078914949077,16.7,
BGR,Bulgaria,,6.4,-0.4759365344714991,5.599999904632568,71.586,70.19054414878924,51824867626.646034,,,108610.0,28.900000000000006,49257013348.56352,137.38070918346,13.9,
BOL,Bolivia,8.64,310.0,1.6242816013807486,,65.515,8.878857195606018,16675015771.130394,90.6981056181136,,1083300.0,34.42,16138616192.608147,52.3846526046877,57.3,27.2
GHA,Ghana,,,2.4003503722327886,,49.8066,102.24213764612816,28526922399.33692,,,227540.0,49.98,25362239907.40434,49.7349658977821,83.0,28.6
PAK,Pakistan,3.49,,1.8058771374307385,5.0,35.3216,217.20923879202988,163891692022.27054,55.5263669974703,,770880.0,63.84,167234488594.54813,52.5672211133225,78.1,
WLD,World,,,1.1822434753436823,,50.54990390578295,51.93960590788703,61214440323530.555,84.07079712,,129711959.0,50.13547793451581,61209220390930.984,59.859245128424085,57.82207162540644,
