Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
DZA,Algeria,,,1.5052275456814839,10.199999809265137,70.957,14.674216329238288,138119949894.69626,,,2381740.0,34.14,139576526509.69757,93.6471149437679,32.1,
NAC,North America,,,0.9151297967142398,9.193585465125025,81.72606709869149,18.670357568507832,15206984017751.555,,,18240980.0,18.145156563792778,15258557091689.432,87.33841153191355,7.445815759303336,
EGY,"Egypt, Arab Rep.",,,1.7627758377197045,9.399999618530273,43.3054,80.08056959164198,188984088127.29498,,,995450.0,57.24,189145988127.29498,69.4366150379742,24.1,
BGD,Bangladesh,,,1.0610699186905932,5.0,27.4424,1129.524045478989,89359767441.86047,55.90261,,130170.0,72.38,97484941860.46512,35.6593540732752,51.4,
NER,Niger,,,3.5504056282836842,,17.4392,11.81989184495145,5254406102.679876,,,1266700.0,83.38,5219885807.711369,17.3587722946514,137.8,
LIC,Low income,,,2.081332222266809,,27.24026935914265,48.72256653571419,391518498123.35175,,,16077080.0,72.07549794126663,397458755552.832,25.871715173538913,101.65496072300823,
MIC,Middle income,,,1.1261782854332694,,48.38370656475677,61.675184407054466,16300272643497.043,,,79640527.0,52.19592932260973,16221657091459.58,65.93297320772031,50.28631873582961,
NAM,Namibia,,,1.8753954259209196,,37.263,2.7233149922870434,8930729289.591692,88.50757,,823290.0,62.58,8849303752.65518,54.2800027474512,50.1,
VEN,"Venezuela, RB",,,1.5945223216056923,7.599999904632568,93.0334,32.17958165636869,329418979506.2879,,,882050.0,6.340000000000003,326285129506.2879,98.6102937971795,16.1,
BGR,Bulgaria,,5.0,-0.5031924952866988,6.800000190734863,72.055,69.87040346352248,48568714011.51633,98.31937,,108560.0,28.599999999999994,46902667334.60407,138.608960164525,13.3,
BOL,Bolivia,,,1.5983812157594701,,65.957,9.021915443552109,17339992191.227657,,,1083300.0,33.959999999999994,16666184097.896671,66.1424159617887,55.2,
GHA,Ghana,,,2.379568288056562,,50.5108,104.70423661773754,25978537278.719765,66.62009,,227540.0,49.24,25881467602.84687,63.4178184199545,81.0,
PAK,Pakistan,,,1.8063694580201004,,35.6018,221.16849185346618,161819031346.24908,,,770880.0,63.42,166222906608.7541,55.3343970595814,75.7,
WLD,World,,,1.167572682050391,,51.03898650568645,52.546694824380964,57876729714194.63,84.07079712,,129710339.0,49.71712649401443,57831899220680.97,68.20762614247222,55.94343612408068,
CPV,Cape Verde,,54.0,0.8682454399679984,,61.0042,121.99032258064516,1600829245.7959871,84.80354,,4030.0,39.64,1557465584.3012528,59.1148465993113,23.7,
ROU,Romania,0.19,21.0,-0.1545377905738737,6.900000095367432,52.786,93.36869077631923,161110320401.4036,97.65442,,230060.0,45.58,164072954104.22067,116.542437535691,14.8,
JOR,Jordan,,19.0,2.1877474838648396,12.899999618530273,82.2138,66.62536607343996,23820013058.61565,,,88780.0,21.540000000000006,24327337002.277622,99.8136946544008,21.8,8.3
LBR,Liberia,,,4.736935414699199,,47.451,39.82484426910299,879300000.0,59.05421,,96320.0,39.18,734700000.0,28.2868113565188,89.2,
MUS,Mauritius,,,0.5084935966296885,7.300000190734863,41.8592,628.0945812807881,8825248711.738691,87.8971,,2030.0,57.46,8784854216.153612,84.1390854352981,15.4,
LBY,Libya,,,1.8215841430555564,,77.4232,3.559263784852859,62360446570.972885,88.86279,,1759540.0,22.28,61985446570.972885,152.236914400846,17.7,
MYS,Malaysia,0.0,,1.6136533382123948,3.700000047683716,71.1198,85.0689240602648,192911631102.0833,92.45693,,328550.0,28.72,188757978579.52188,107.852066207515,7.1,
PRI,Puerto Rico,,,-0.5454018944920803,13.399999618530273,98.546,421.6922209695603,95211400000.0,90.48063,,8870.0,1.4399999999999977,62677750000.0,72.256962427296,,
SXM,Sint Maarten (Dutch part),,,-3.3323014863454326,,,1150.9705882352941,,,,34.0,,,,,
PRK,"Korea, Dem. Rep.",,,0.4625300826147682,,60.129,201.29706004484677,,,,120410.0,36.96,,0.285751664759964,33.3,32.4
PSE,West Bank and Gaza,0.01,,-0.4451498745542865,24.5,73.9186,651.1340531561461,,94.5991675896729,,6020.0,28.0,,45.7936963450524,23.4,
TZA,Tanzania,,,2.930704585974761,,25.8616,49.13607812147212,21368165399.612026,72.90113,,885800.0,74.03999999999999,21185548263.935734,40.1369124841142,77.2,
BWA,Botswana,,,1.359334699575401,,60.2456,3.4965080373370037,11536926821.996056,84.07785,,566730.0,39.66,11496389735.517467,94.5762867535739,30.1,
KHM,Cambodia,,,1.116960858178306,,19.686,79.18594493541808,10401935531.824463,,,176520.0,77.82,9917830382.703316,44.8422055869182,49.7,
SAS,South Asia,,,1.4610227098077218,,30.221088746732253,337.3584525551117,1684624362553.0317,,,4771220.0,70.18098170132488,1686993366285.7363,43.87524660425127,66.34030190386463,
PRY,Paraguay,3.21,130.0,1.7761970296160254,,60.7922,15.962476717845457,14295003243.206465,,,397300.0,39.1,13930601229.65723,88.5956272986043,24.3,
