Country Code,Country name,SI.POV.GAPS,SH.STA.MMRT.NE,SP.POP.GROW,SL.UEM.TOTL.ZS,SP.URB.TOTL.IN.ZS,EN.POP.DNST,NY.GDP.MKTP.CD,SE.ADT.LITR.ZS,SH.STA.MMRT,AG.LND.TOTL.K2,SP.RUR.TOTL.ZS,NY.GNP.MKTP.CD,IT.CEL.SETS.P2,SH.DYN.MORT,SH.STA.STNT.ZS
DZA,Algeria,,,1.433184665741089,,,,188681099191.02405,,,,,181167029776.50424,98.9875901999747,29.8,
NAC,North America,,,0.7568739520720271,,,,16836105010275.926,,,,,16941599066488.383,102.88496515956311,7.343629785797542,
EGY,"Egypt, Arab Rep.",,,1.7301074634981608,,,,229530568259.72983,,,,,223483681286.5497,101.076338461028,21.1,
BGD,Bangladesh,,,1.2043010328392418,,,,110612124359.71852,,,,,119788002616.78343,56.4807853896408,46.0,
NER,Niger,,,3.5280688646355376,,,,6016960987.896335,,,,,5955079027.891202,27.0077081365517,124.5,
LIC,Low income,,,2.12658595502387,,,,474357761151.51575,,,,,477940192672.6561,40.7730324884399,95.31143789322104,
MIC,Middle income,,,0.8995087845644179,,,,22975516253226.746,,,,,22773467563301.3,85.76401568131395,46.95513105579192,
NAM,Namibia,,,1.7674612799443257,,,,12300698895.47265,,,,,11897869151.19936,104.960275455636,41.5,
VEN,"Venezuela, RB",,,1.5281134359508062,,,,316482190800.3637,,,,,311167971049.7228,97.7752677753911,15.0,
BGR,Bulgaria,,,-0.7766578378046468,,,,53514098359.70823,,,,,51227964058.941345,140.678123617152,12.1,
BOL,Bolivia,,,1.5812032898021937,,,,24426829466.066742,,,,,23441068238.49947,82.8031678487185,50.6,
GHA,Ghana,,,2.325957599637721,,,,39199656050.53412,,,,,37943753565.66459,84.7792958179296,77.6,
PAK,Pakistan,,,1.7994390155136961,,,,211091994819.37698,,,,,220252348425.43478,61.6109614054714,72.0,43.0
WLD,World,,,1.001373604303808,,,,69993693036450.97,,,,,69741182814518.26,85.55115460327671,52.46775666759333,
CPV,Cape Verde,,,0.9203503911731787,,,,1901136230.3756177,,,,,1846262639.520087,79.1931440214949,21.3,
ROU,Romania,,,-0.22415718211547475,,,,179793512340.33035,,,,,179538097437.90216,109.159636405112,12.5,
JOR,Jordan,,,2.1917789386060345,,,,28840197018.762817,,,,,28660478708.450706,118.204758830293,20.7,
LBR,Liberia,,,3.310780412553053,,,,1161000000.0,,,,,1043799999.9999999,49.1677509802421,78.3,
MUS,Mauritius,,,0.3994590377795361,,,,11313454890.802202,,,,,11499270026.688663,99.0438491557815,15.1,
LBY,Libya,,,1.0590271810207228,,,,,,,,,,155.69601411976,16.2,
MYS,Malaysia,,,1.6002284601591574,,,,278671114816.9395,,,,,271471079632.5781,127.035120294933,6.5,
PRI,Puerto Rico,,,-0.41159523034031575,,,,,,,,,,82.9889313276693,,
SXM,Sint Maarten (Dutch part),,,-3.3336868065645566,,,,,,,,,,,,
PRK,"Korea, Dem. Rep.",,,0.4305799771303895,,,,,,,,,,4.08976460746337,33.2,
PSE,West Bank and Gaza,,,2.878985513112492,,,,,,,,,,,22.0,
TZA,Tanzania,,,3.0251908437798534,,,,23705302063.492355,,,,,23565419333.807724,55.5328770397196,67.6,
BWA,Botswana,,,1.1785608431598105,,,,17627441190.66773,,,,,17397713058.779312,142.818177431062,25.9,
KHM,Cambodia,,,1.1737675066572528,,,,12875310958.714376,,,,,12296568861.51418,69.9047331306422,42.5,40.9
SAS,South Asia,,,1.4406890275754307,,,,2271825140453.852,,,,,2268446082440.3677,68.81649782212665,62.169820399069685,
PRY,Paraguay,,,1.746852603770346,,,,23877089240.440136,,,,,23388028664.565365,99.402629908241,22.4,
HKG,"Hong Kong SAR, China",,,0.05375051404570481,,,,243665853031.86023,,,,,250966983556.01233,209.639932228682,,
SAU,Saudi Arabia,,,2.285162776793861,,,,576824000000.0,,,,,587170666666.6666,191.24269417073,9.2,
LBN,Lebanon,,,0.7495732634501185,,,,42185230768.1592,,,,,40147230693.01872,78.6494827329169,9.3,
SVN,Slovenia,,,0.1666592672750036,,,,49539271105.464165,,,,,48721007493.301796,106.561926907556,2.8,
BFA,Burkina Faso,,,2.985762259761061,,,,10187211703.584702,,,,,10187635552.625832,45.2744588366997,146.4,
SVK,Slovak Republic,,,0.1821695044010006,,,,95994147901.02863,,,,,88832707812.06561,109.349480270683,7.7,
KEN,Kenya,,,2.671892518513418,,,,33620684015.84027,,,,,33729002083.68852,64.8424594364087,72.8,
MRT,Mauritania,,,2.335868081592861,,,,4075675052.7713823,,,,,3826437408.3162794,92.7102616375927,112.1,
CHI,Channel Islands,,,0.3411150729119856,,,,,,,,,,,,
HRV,Croatia,,,-0.24929191380754445,,,,63850068201.980415,,,,,61621629611.68441,116.370610343164,5.1,
CHL,Chile,,,0.9064776296188435,,,,248585243788.3463,,,,,234565389466.9375,129.708078247665,8.7,
CHN,China,,,0.47018026889749637,,,,7318499269769.414,,,,,7306633953840.806,73.187769263199,14.6,
SMR,San Marino,,,0.635384394314335,,,,,,,,,,111.753584370569,1.8,
OED,OECD members,,,0.6869464212506955,,,,46108457879819.54,,,,,46244351413905.914,109.83155353317275,7.772953579518387,
DJI,Djibouti,,,1.8780229600408638,,,,,,,,,,21.3180956840157,89.5,
GIN,Guinea,,,2.378108088188184,,,,5131221608.001863,,,,,4781637293.309965,44.023523040151,125.8,
FIN,Finland,,,0.4399490945648481,,,,266070833333.33334,,,,,268987500000.0,166.023804173623,2.9,
URY,Uruguay,,,0.35719533325561786,,,,46709797683.82434,,,,,45341444683.10459,140.751885794353,10.3,
THA,Thailand,,,0.571725078026431,,,,345649290736.7247,,,,,333232417092.28326,113.161025858492,12.3,
